Artist,Track,Energy,Valence,Url_youtube
Lil Wayne,Scared of the Dark (feat. XXXTENTACION),0.623,0.156,https://www.youtube.com/watch?v=HJBbd3fXnxg
Lil Wayne,ay! (feat. Lil Wayne),0.617,0.491,https://www.youtube.com/watch?v=QwowRNLw8Fg
Lil Wayne,Right Above It,0.841,0.463,https://www.youtube.com/watch?v=oUvMv_MxMxQ
Sia,Snowman,0.512,0.326,https://www.youtube.com/watch?v=gset79KMmt0
Sia,Unstoppable,0.779,0.26,https://www.youtube.com/watch?v=YaEG2aWJnZ8
Sia,Chandelier,0.787,0.572,https://www.youtube.com/watch?v=2vjPBrBU-TM
Sia,Dusk Till Dawn (feat. Sia) - Radio Edit,0.437,0.0951,https://www.youtube.com/watch?v=tt2k8PGm-TI
Sia,Cheap Thrills,0.698,0.732,https://www.youtube.com/watch?v=nYh-n7EOtMA
Sia,"Genius (feat. Sia, Diplo, and Labrinth)",0.615,0.561,https://www.youtube.com/watch?v=HhoATZ1Imtw
Sia,Elastic Heart,0.791,0.499,https://www.youtube.com/watch?v=KWZGAExj-es
